
2011-01-01,-2,-7,多云~阴,无持续风向,微风
2011-01-02,-2,-7,多云,无持续风向,微风
2011-01-03,-2,-6,多云~阴,西北风~北风,3-4级~4-5级
2011-01-04,-2,-9,晴,北风,5-6级
2011-01-05,-2,-10,晴,北风~无持续风向,3-4级~微风
2011-01-06,-1,-10,晴~多云,无持续风向,微风
2011-01-07,-1,-9,多云,无持续风向~北风,微风~3-4级
2011-01-08,0,-9,晴,无持续风向,微风
2011-01-09,0,-9,晴,无持续风向,微风
2011-01-10,0,-9,晴,无持续风向,微风
2011-01-11,-1,-9,晴~多云,无持续风向,微风
2011-01-12,-1,-8,多云~晴,北风,3-4级
2011-01-13,-1,-9,多云,无持续风向~北风,微风~3-4级
2011-01-14,-2,-10,晴,无持续风向,微风
2011-01-15,-2,-9,晴~多云,无持续风向,微风
2011-01-16,-1,-9,阴~晴,无持续风向,微风
2011-01-26,0,-8,晴,无持续风向,微风
2011-01-29,-1,-10,晴,无持续风向,微风
2011-01-30,3,-7,晴,无持续风向,微风
2011-01-31,7,-7,晴,无持续风向,微风
2011-02-01,7,-6,晴~多云,无持续风向,微风
2011-02-02,6,-6,多云~晴,无持续风向,微风
2011-02-03,7,-5,晴~多云,无持续风向,微风
2011-02-04,9,-4,多云~晴,北风~无持续风向,3-4级~微风
2011-02-05,4,-3,多云~晴,无持续风向,微风
2011-02-06,9,-2,晴~多云,无持续风向,微风
2011-02-07,5,-3,阴~多云,无持续风向,微风
2011-02-08,7,-4,多云~晴,无持续风向,微风
2011-02-09,2,-2,多云~小雪,无持续风向,微风
2011-02-10,-2,-5,小雪~晴,无持续风向,微风
2011-02-11,1,-10,晴,北风~无持续风向,3-4级~微风
2011-02-12,-3,-6,阴~小雪,无持续风向,微风
2011-02-13,-2,-10,阴~晴,北风~无持续风向,3-4级~微风
2011-02-14,1,-9,晴,无持续风向,微风
2011-02-15,3,-5,晴~多云,无持续风向,微风
2011-02-16,0,-5,阴~晴,无持续风向,微风
2011-02-17,6,-6,晴,无持续风向,微风
2011-02-18,9,-3,晴,无持续风向,微风
2011-02-19,10,-3,晴,无持续风向,微风
2011-02-20,8,-3,多云~晴,无持续风向,微风
2011-02-21,7,-1,晴,无持续风向,微风
2011-02-22,8,0,多云,无持续风向,微风
2011-02-23,9,3,多云,无持续风向,微风
2011-02-24,11,-1,晴,无持续风向,微风
2011-02-25,6,-1,多云~中雪,无持续风向,微风
2011-02-26,2,-3,小雪,无持续风向,微风
2011-02-27,2,-5,小雪~阴,无持续风向,微风
2011-02-28,6,-4,多云~晴,无持续风向~北风,微风~3-4级
2011-03-01,5,-3,多云,无持续风向,微风
2011-03-02,6,-2,晴,无持续风向~北风,微风~3-4级
2011-03-03,9,-4,晴,无持续风向,微风
2011-03-04,11,0,晴~多云,无持续风向,微风
2011-03-05,13,1,晴,无持续风向~北风,微风~3-4级
2011-03-06,10,-1,晴,北风~无持续风向,3-4级~微风
2011-03-07,10,-1,晴,北风~无持续风向,3-4级~微风
2011-03-08,10,-1,晴,北风,3-4级
2011-03-09,11,-1,晴,北风~无持续风向,3-4级~微风
2011-03-10,15,1,晴,无持续风向,微风
2011-03-11,15,3,多云~晴,无持续风向,微风
2011-03-12,17,7,晴~阴,无持续风向,微风
2011-03-13,17,3,多云~晴,北风,4-5级
2011-03-14,9,1,多云,北风,3-4级
2011-03-15,9,-2,晴,北风,4-5级~3-4级
2011-03-16,11,0,晴,无持续风向,微风
2011-03-17,16,5,晴~多云,无持续风向,微风
2011-03-18,14,0,多云~晴,北风,4-5级~3-4级
2011-03-19,13,3,多云,无持续风向,微风
2011-03-20,13,3,阴~多云,无持续风向~北风,微风~4-5级
2011-03-21,7,-1,晴,北风,4-5级~3-4级
2011-03-22,10,-1,晴,无持续风向,微风
2011-03-23,12,1,多云~晴,北风,3-4级~4-5级
2011-03-24,11,-1,晴,北风~无持续风向,4-5级~微风
2011-03-25,14,0,晴,无持续风向,微风
2011-03-26,15,1,晴,无持续风向,微风
2011-03-27,17,2,晴~多云,无持续风向,微风
2011-03-28,17,4,晴,无持续风向,微风
2011-03-29,19,3,晴,无持续风向,微风
2011-03-30,22,6,晴,无持续风向,微风
2011-03-31,22,7,多云~小雨,无持续风向~东北风,微风~3-4级
2011-04-01,12,3,小雨,无持续风向,微风
2011-04-02,13,1,晴,无持续风向,微风
2011-04-03,16,2,晴,无持续风向,微风
2011-04-04,20,5,晴,无持续风向,微风
2011-04-05,19,7,多云~阴,无持续风向,微风
2011-04-06,19,8,多云,无持续风向,微风
2011-04-07,19,5,多云~晴,北风,3-4级
2011-04-08,20,7,晴~多云,南风,3-4级
2011-04-09,22,9,阴~小雨,无持续风向,微风
2011-04-10,16,3,多云~晴,北风~无持续风向,3-4级~微风
2011-04-11,23,7,晴,无持续风向,微风
2011-04-12,26,10,晴,无持续风向,微风
